Top1	Top2	Top3	Top4	Top5	Top6	Top7	Top8	Top9	Top10	Top11	Top12	Top13	Top14	Top15	TA
6.97465933457e-05	0.085182546	0.0001164843	0.2240660431	0.5832220506	0.0001599574	0.0019085437	0.0001155331	7.41379423949e-05	0.048855852	0.0001898142	0.0486872202	0.0001254198	9.71167118399e-05	0.0071295345	Solar Mounting/Rack
0.0459553277	0.058631046	0.0002794011	0.3917592609	0.2625501819	0.0669844507	0.0004153155	0.0002771196	0.0001778285	0.000635086	0.0004552914	0.0376935385	0.1335023827	0.0002329457	0.0004508238	Solar Invertor
0.0023154584	0.0001900394	0.0001494145	0.0069345167	0.0001655814	0.0024311718	0.0002220971	0.5744547262	9.5096833404e-05	0.0003396232	0.0714752928	0.0001233189	0.0001608761	0.340701701	0.0002410857	Solar Monitoring
8.09906610877e-05	0.0102478618	0.4636230581	0.1574150542	0.0001498987	0.0022009089	0.0002010617	0.0001341586	0.0021012543	0.0244894284	0.0022355791	0.0525059115	0.1129948413	0.1230377971	0.0485821957	Solar Monitoring
0.0001659141	0.0003524344	0.0002770943	0.4009092974	0.1819470356	0.0003805085	0.0375655146	0.0002748316	0.0043045412	0.3721661231	0.0004515324	0.000228699	0.0002983501	0.0002310224	0.0004471016	Solar Mounting/Rack
6.12439888463e-05	0.0001300944	0.1189617005	0.0016994528	0.0001133513	0.0001404574	0.00015204	0.0001014488	0.7482698884	0.0002324943	0.0961685109	0.0046559358	0.0001101302	8.5277495737e-05	0.0291179737	Solar Invertor
0.0928012562	0.4886184433	0.0001517796	0.0183504238	0.0001682023	0.0748289718	0.0002256126	0.0295465131	9.66020832164e-05	0.0184348284	0.0002473288	0.2465991974	0.0001634225	0.0136939156	0.0160735026	Solar Mounting/Rack
6.58605909604e-05	0.1427073564	0.0001099943	0.7146648356	0.0001218957	0.0017897515	0.0001635008	0.0001090961	7.00072715311e-05	0.1149594667	0.0001792385	0.0246713792	0.0001184319	9.17057554654e-05	0.0001774797	Solar Mounting/Rack
0.0001045983	0.0002221876	0.0027772478	0.0002999306	0.0001935921	0.4036362794	0.0002596684	0.000173264	0.1874953148	0.0576533381	0.1876687935	0.0001441803	0.140726189	0.0183635467	0.0002818693	Solar Invertor
0.0002181457	0.0004633846	0.0003643266	0.4457033357	0.3043593272	0.0005002969	0.0005415529	0.0003613516	0.0002318804	0.2233670307	0.0005936798	0.0111562524	0.000392274	0.0111593073	0.0005878541	Solar Mounting/Rack
